10000,2,0.0062597
50000,2,0.0012428
100000,2,0.0033116
200000,2,0.0085252
350000,2,0.0183835
1000000,2,0.0819277
4000000,2,0.6029424
10000000,2,2.3239457
20000000,2,6.4895903
10000,3,0.0002444
50000,3,0.0011863
100000,3,0.0028517
200000,3,0.007537
350000,3,0.0167125
1000000,3,0.0541355
4000000,3,0.4051623
10000000,3,1.5470804
20000000,3,4.3848292
10000,4,0.0001277
50000,4,0.0006757
100000,4,0.0015847
200000,4,0.0040807
350000,4,0.0089604
1000000,4,0.0398836
4000000,4,0.3041793
10000000,4,1.2658205
20000000,4,3.7480017
10000,10,0.0002431
50000,10,0.0005344
100000,10,0.0013332
200000,10,0.0041421
350000,10,0.0082924
1000000,10,0.0376676
4000000,10,0.3012292
10000000,10,1.1797807
20000000,10,3.4076288
